timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp,index
"2024-02-16T00:00:00.000Z","2024-02-16T23:59:59.999Z","2024-02-16T14:01:00.000Z","2024-02-16T09:11:00.000Z","2781",51937.726913942,52537.9702279417,51641.3672186264,52160.2028290199,28180567297.56,1023893671410.46,"2024-02-16T23:59:59.999Z",61
"2024-02-15T00:00:00.000Z","2024-02-15T23:59:59.999Z","2024-02-15T14:52:00.000Z","2024-02-15T22:00:00.000Z","2781",51836.7835750689,52820.0669345775,51371.6274837126,51938.5563164417,38564360532.5,1019499948270.3,"2024-02-15T23:59:59.999Z",60
"2024-02-14T00:00:00.000Z","2024-02-14T23:59:59.999Z","2024-02-14T14:38:00.000Z","2024-02-14T04:37:00.000Z","2781",49733.4447985071,52021.3707787094,49296.8309233025,51826.6959960877,39105608049.68,1017254026224.34,"2024-02-14T23:59:59.999Z",59
"2024-02-13T00:00:00.000Z","2024-02-13T23:59:59.999Z","2024-02-13T01:37:00.000Z","2024-02-13T17:13:00.000Z","2781",49941.3611618475,50358.3920857078,48406.495563553,49742.4409898499,35593051468.37,976299863551.89,"2024-02-13T23:59:59.999Z",58
"2024-02-12T00:00:00.000Z","2024-02-12T23:59:59.999Z","2024-02-12T21:15:00.000Z","2024-02-12T10:08:00.000Z","2781",48296.3851963696,50280.4752743247,47745.760261073,49958.2242190229,34511985804.6,980490999415.43,"2024-02-12T23:59:59.999Z",57
"2024-02-11T00:00:00.000Z","2024-02-11T23:59:59.999Z","2024-02-11T04:01:00.000Z","2024-02-11T01:29:00.000Z","2781",47768.9681304591,48535.9359097846,47617.4053651872,48293.916750573,19315867135.91,947774152969.59,"2024-02-11T23:59:59.999Z",56
"2024-02-10T00:00:00.000Z","2024-02-10T23:59:59.999Z","2024-02-10T20:48:00.000Z","2024-02-10T10:54:00.000Z","2781",47153.5284248774,48146.1704309785,46905.3216858143,47771.2773670997,16398681569.88,937476684153.25,"2024-02-10T23:59:59.999Z",55
"2024-02-09T00:00:00.000Z","2024-02-09T23:59:59.999Z","2024-02-09T18:25:00.000Z","2024-02-09T00:50:00.000Z","2781",45297.3842529508,48152.494627699,45260.8245721867,47147.2003126111,39316770843.67,925184504544.07,"2024-02-09T23:59:59.999Z",54
"2024-02-08T00:00:00.000Z","2024-02-08T23:59:59.999Z","2024-02-08T20:18:00.000Z","2024-02-08T00:00:00.000Z","2781",44332.1256023337,45575.8417211487,44332.1256023337,45301.5666288709,26154524080.46,888921474480.5,"2024-02-08T23:59:59.999Z",53
"2024-02-07T00:00:00.000Z","2024-02-07T23:59:59.999Z","2024-02-07T21:32:00.000Z","2024-02-07T03:59:00.000Z","2781",43090.0212972066,44341.9483326736,42775.9584713438,44318.2244507353,21126587774.95,869585299010.09,"2024-02-07T23:59:59.999Z",52
"2024-02-06T00:00:00.000Z","2024-02-06T23:59:59.999Z","2024-02-06T16:31:00.000Z","2024-02-06T01:05:00.000Z","2781",42657.3910738742,43344.148217751,42529.0214234132,43084.6718635339,16798476725.59,845338495831.28,"2024-02-06T23:59:59.999Z",51
